NODE, DESIGNATION, WRITE, READ, STATUS
EN,SCP-404,OK,OK,OK
FR,SCP-404-FR,OK,OK,OK
PL,SCP-404-PL,OK,OK,OK
DE,SCP-404-DE,OK,NOT_FOUND,RESERVED
DE,SCP-404-DE,OK,NOT_FOUND,RESERVED
DE,SCP-404-DE,OK,NOT_FOUND,RESERVED












































































































































































































































































































































































































DE. RESEARCHER-MCL, BAD_GATEWAY, NOT_FOUND, _EE_
